route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
R51,AERO_51,Route 51,Oton to Dumangas,,3,,,,,,
R52,MTCOOP_52,Route 52,Leganes to Infante,,3,,,,,,
R54,MTCOOP_54,Route 54,San Miguel to Festive Walk,,3,,,,,,
R55,APOD_55,Route 55,Leganez to La Paz,,3,,,,,,
R1,M_TSE1,Route 1,"Bo. Obrero, Lapuz to City Proper",,3,,,,,,
R10,M_TSE10,Route 10,Tagbak to Iloilo C/P,Jaro Liko (NFA merged with Tagbak),3,,,,,,
R11,M_TSE11,Route 11,Ticud La Paz to City Proper,,3,,,,,,
R12,M_TSE12,Route 12,Mandurriao to City Proper via Festive Walk,,3,,,,,,
R13,M_TSE13,Route 13,Hibao-an to City Proper via Tabucan,,3,,,,,,
R14,M_TSE14,Route 14,Hibao-an to Jaro via Festive Walk,,3,,,,,,
R15,M_TSE15,Route 15,Molo to City Proper via Baluarte,,3,,,,,,
R16,M_TSE16,Route16,BITO-ON JARO VIA BALABAGO LOOP,,3,,,,,,
R17,M_TSE17,Route 17,Villa Baybay to City Proper,,3,,,,,,
R18,AERO_18,Route 18,Tagbak to Lapuz via Coastal,Baldoza to Rizal Rotunda via Loboc-Mansaya,3,,,,,,
R19,AERO_19,Route 19,Bito-on to Laz Paz via Coastal,Bitoon to Laz Paz Plaza via Coastal Road,3,,,,,,
R2,M_TSE2,Route 2,Villa Plaza to City Proper via Calumpang,,3,,,,,,
R20,APODTC20,Route 20,Mohon to Jaro via Festive Walk/ISATU,,3,,,,,,
R21,JOROSHELY_21,Route 21,TAGBAK/BUNTATALA TO FESTIVE WALK,,3,,,,,,
R22,SBNITC22,Route 22,Ungka to La Paz via CPU- ISATU,,3,,,,,,
R23,CITSCO23,Route 23,Mohon to Mandurriao Business District,,3,,,,,,
R24,PIJODTC24,Route 24,La Paz to Festive Walk via Nabitasan,,3,,,,,,
R25,APSDTC25,Route 25,Molo to City Proper via Gen. Luna,,3,,,,,,
R3,M_TSE3,Route 3,UNGKA To City Proper via CPU Loop,,3,,,,,,
R4,M_TSE4,Route 4,UNGKA TO CITY PROPER,,3,,,,,,
R5,WVTC_5,Route 5,Festive Walk to City Proper via B. Aquino Ave.,,3,,,,,,
R6,M_TSE6,Route 6,LANIT TO INFANTE VIA SM CITY,,3,,,,,,
R7,M_TSE7,Route 7,Compania to City Proper,,3,,,,,,
R8,ICASODA_8,Route 8,Parola to SM City via Infante,,3,,,,,,
R9,M_TSE9,Route 9,Mohon to City Proper,,3,,,,,,
