stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
STP5101,Tuburan,,10.70520496,122.4778061,,,,,
STP5102,Santa Barbara,,10.82633209,122.5323181,,,,,
STP5103,Zarraga Public Market,,10.82279873,122.6119461,,,,,
STP5104,Santa Barbara,,10.81839943,122.5266342,,,,,
STP5105,Dacutan,,10.79887104,122.6974945,,,,,
STP5106,Malunang,,10.82352352,122.6091766,,,,,
STP5107,Tuburan Sulbod,,10.82477188,122.6067505,,,,,
STP5108,San Antonio,,10.69477844,122.4758072,,,,,
STP5109,Pulao,,10.81916237,122.6990891,,,,,
STP5110,Dacutan,,10.81646061,122.6995087,,,,,
STP5111,San Antonio,,10.69160748,122.4746475,,,,,
STP5112,San Jose,,10.77340126,122.4999542,,,,,
STP5113,Santa Barbara,,10.82166576,122.5293121,,,,,
STP5114,Balabag,,10.84340668,122.6564636,,,,,
STP5115,Abilay Norte,,10.7554636,122.4904404,,,,,
STP5116,Santa Barbara,,10.82382298,122.5309448,,,,,
STP5117,Jalaud Sur,,10.84884834,122.6493683,,,,,
STP5118,Balud I,,10.84622765,122.6454544,,,,,
STP5119,San Jose,,10.76408005,122.4944763,,,,,
STP5120,Abilay Norte,,10.76160526,122.4933395,,,,,
STP5121,San Jose,,10.76643085,122.4959412,,,,,
STP5201,Mandurriao,,10.70563412,122.5524445,,,,,
STP5202,Jaro,,10.76797581,122.5817642,,,,,
STP5203,Jaro,,10.77195263,122.5841675,,,,,
STP5204,Jaro,,10.74691868,122.567955,,,,,
STP5205,Jaro,,10.73767185,122.5619202,,,,,
STP5206,Poblacion,,10.78410244,122.5876007,,,,,
STP5207,Buntatala,,10.77490139,122.5848312,,,,,
STP5208,Jaro,,10.7438488,122.5657501,,,,,
STP5209,Jaro,,10.74030781,122.563385,,,,,
STP5210,Luis Linaga-an,,10.71651077,122.5532455,,,,,
STP5211,Guihaman,,10.77785206,122.5845642,,,,,
STP5212,Jaro,,10.75741768,122.5748215,,,,,
STP5213,Jaro,,10.76021862,122.5766373,,,,,
STP5214,Jaro,,10.76256371,122.5780411,,,,,
STP5215,Molo,,10.69383812,122.5550995,,,,,
STP5216,City Proper,,10.69678116,122.5548325,,,,,
STP5217,Jaro,,10.7334528,122.5601959,,,,,
STP5218,Guihaman,,10.78048706,122.5854416,,,,,
STP5219,Ceres Iloilo North Bus Terminal,,10.7536869,122.5720749,,,,,
STP5220,Jaro,,10.75020504,122.5699997,,,,,
STP5221,Jaro,,10.76476479,122.5797043,,,,,
STP5222,Molo,,10.70073605,122.5538788,,,,,
STP5223,Jaro,,10.72988701,122.5589752,,,,,
STP5224,GECO Philippines,,10.7280426,122.5561523,,,,,
STP5225,Cornerstone Pet Hospital,,10.7173872,122.5594864,,,,,
STP5226,TotalEnergies,,10.72112656,122.5589447,,,,,
STP5227,Jaro,,10.72244549,122.5545883,,,,,
STP5228,Mandurriao,,10.71055984,122.5519028,,,,,
STP5229,SM Strata Twin Towers,,10.71321011,122.5524673,,,,,
STP5230,Jaro,,10.72556114,122.5573654,,,,,
STP5231,Jaro,,10.71482563,122.5570755,,,,,
STP5401,San Miguel,,10.77401543,122.4612732,,,,,
STP5402,San Miguel,,10.77604961,122.4739227,,,,,
STP5403,Mandurriao,,10.73139858,122.5237656,,,,,
STP5404,Mandurriao,,10.72625351,122.5279388,,,,,
STP5405,Rizal,,10.77046871,122.4561691,,,,,
STP5406,Rizal,,10.76851559,122.4542999,,,,,
STP5407,Rizal,,10.77457714,122.4586258,,,,,
STP5408,San Miguel,,10.77777195,122.4610901,,,,,
STP5409,Jibao-an,,10.75247765,122.5074615,,,,,
STP5410,Jibao-an,,10.74534321,122.5133438,,,,,
STP5411,San Miguel,,10.77965927,122.4674149,,,,,
STP5412,Mandurriao,,10.71806526,122.5371552,,,,,
STP5413,San Miguel,,10.78099155,122.4650497,,,,,
STP5414,Jibao-an,,10.75893688,122.4998322,,,,,
STP5415,Mandurriao Central Elementary School,,10.71540737,122.5377197,,,,,
STP5416,Mandurriao,,10.71788883,122.5398636,,,,,
STP5417,Hibao-an Norte,,10.73995399,122.5172272,,,,,
STP5418,Mandurriao,,10.74222088,122.5157089,,,,,
STP5419,Mandurriao,,10.71725368,122.5469208,,,,,
STP5420,Jibao-an,,10.76206112,122.4962845,,,,,
STP5421,Mnhs canteen,,10.71825027,122.5443878,,,,,
STP5422,San Miguel,,10.76377773,122.4941788,,,,,
STP5423,San Jose,,10.7655859,122.4921646,,,,,
STP5424,San Miguel,,10.77841759,122.4640732,,,,,
STP5425,San Miguel,,10.77834511,122.46978,,,,,
STP5501,Jaro,,10.73782539,122.5620804,,,,,
STP5502,Jaro,,10.74546623,122.5669327,,,,,
STP5503,Jaro,,10.74117184,122.563942,,,,,
STP5504,Jaro,,10.73040104,122.5591583,,,,,
STP5505,La Paz,,10.71057987,122.5705185,,,,,
STP5506,La Paz,,10.71307278,122.5683899,,,,,
STP5507,Jaro,,10.7500267,122.5699387,,,,,
STP5508,Guihaman,,10.77654648,122.5848541,,,,,
STP5509,Guihaman,,10.77962875,122.584877,,,,,
STP5510,Jaro,,10.75351715,122.572113,,,,,
STP5511,Jaro,,10.76781464,122.5816193,,,,,
STP5512,Jaro,,10.77200317,122.5842133,,,,,
STP5513,Guihaman,,10.7831049,122.5869293,,,,,
STP5514,Poblacion,,10.78581524,122.5886612,,,,,
STP5515,Jaro,,10.73308277,122.5601273,,,,,
STP5516,GECO Philippines,,10.72824669,122.5564117,,,,,
STP5517,La Paz,,10.71555805,122.5665588,,,,,
STP5518,The Lodge,,10.72004318,122.5622482,,,,,
STP5519,Jaro,,10.75714111,122.5746002,,,,,
STP5520,Dunkin Donuts,,10.7612915,122.5774612,,,,,
STP5521,Jaro,,10.72378349,122.5571823,,,,,
STP5522,Jaro,,10.72190094,122.5602036,,,,,
STP5523,Jaro,,10.71793461,122.5643845,,,,,
STP5524,Jaro,,10.76371288,122.5788956,,,,,
STP0201,Molo,,10.68389491,122.5427022,,,,,
STP0202,Molo,,10.68183156,122.5383927,,,,,
STP0203,Villa de Arevalo,,10.6801956,122.5177911,,,,,
STP0204,Molo,,10.68599696,122.5454343,,,,,
STP0205,Molo,,10.68939335,122.5485435,,,,,
STP0206,City Proper,,10.69581454,122.5690028,,,,,
STP0207,Molo,,10.69239458,122.5524588,,,,,
STP0208,Sanitas,,10.68131168,122.5341128,,,,,
STP0209,Arevalo Police Station,,10.68773497,122.5165464,,,,,
STP0210,Villa de Arevalo,,10.6809052,122.5306619,,,,,
STP0211,Molo,,10.69203811,122.5497357,,,,,
STP0212,City Proper,,10.69268844,122.5691326,,,,,
STP0213,Villa de Arevalo,,10.68395842,122.516977,,,,,
STP0214,Villa de Arevalo,,10.68033349,122.5217727,,,,,
STP0215,Villa de Arevalo,,10.68056581,122.5249987,,,,,
STP0216,City Proper,,10.69224337,122.5719109,,,,,
STP0217,City Proper,,10.69406585,122.5609384,,,,,
STP0218,Royale Business Club ILOILO BRANCH,,10.69558354,122.5658309,,,,,
STP0219,Phoenix Super LPG,,10.69325427,122.5583441,,,,,
STP2301,Mandurriao,,10.71468304,122.545862,,,,,
STP2302,Mandurriao,,10.71792963,122.5525327,,,,,
STP2303,Villa de Arevalo,,10.6889092,122.5215766,,,,,
STP2304,Mandurriao,,10.71383311,122.5521825,,,,,
STP2305,Mandurriao,,10.70878848,122.5496308,,,,,
STP2306,Villa de Arevalo,,10.6889941,122.524478,,,,,
STP2307,Villa de Arevalo,,10.68889725,122.5283043,,,,,
STP2308,Molo,,10.69069113,122.5323469,,,,,
STP2309,Villa de Arevalo,,10.69320174,122.5004268,,,,,
STP2310,Villa de Arevalo,,10.69195979,122.5045924,,,,,
STP2311,Villa de Arevalo,,10.69127057,122.5079845,,,,,
STP2312,Villa de Arevalo,,10.68921409,122.5158825,,,,,
STP2313,Mandurriao,,10.70203462,122.5433203,,,,,
STP2314,Mandurriao,,10.70478496,122.5435931,,,,,
STP2315,BIR Revenue,,10.69768658,122.5474596,,,,,
STP2316,Villa de Arevalo,,10.69060975,122.5107528,,,,,
STP2317,Molo,,10.69233303,122.5355402,,,,,
STP2318,Molo,,10.69439864,122.5385675,,,,,
STP2319,Molo,,10.69637674,122.5418326,,,,,
STP2320,Molo,,10.69792893,122.5443319,,,,,
STP0601,Tiu Cho Teg - Ana Ros Foundation Integrated School,,10.77261065,122.5695376,,,,,
STP0602,Jaro,,10.76408078,122.5641723,,,,,
STP0603,Jaro,,10.753872,122.5587683,,,,,
STP0604,Jaro,,10.75574852,122.5541752,,,,,
STP0605,Mandurriao,,10.71664734,122.55301,,,,,
STP0606,City Proper,,10.69304398,122.5557344,,,,,
STP0607,Oppo Service Center,,10.70031451,122.5539073,,,,,
STP0608,Mandurriao,,10.70310255,122.5531357,,,,,
STP0609,Jaro,,10.74978824,122.5531768,,,,,
STP0610,Jaro,,10.74720938,122.5549671,,,,,
STP0611,Molo,,10.69710297,122.5546655,,,,,
STP0612,Mandurriao,,10.70623374,122.5526277,,,,,
STP0613,Jaro,,10.74553853,122.5573068,,,,,
STP0614,Mandurriao,,10.7138263,122.5521848,,,,,
STP0615,Jaro,,10.74239347,122.5613011,,,,,
STP0616,Jaro,,10.7395428,122.5630801,,,,,
STP0617,Hyundai Iloilo,,10.73693187,122.56149,,,,,
STP0618,Jaro,,10.71366387,122.5550964,,,,,
STP0619,Jaro,,10.71506161,122.5574719,,,,,
STP0620,TLC-Saladmaster,,10.70920384,122.5508124,,,,,
STP0621,Pen Bank,,10.73396387,122.5604896,,,,,
STP0622,We Academy,,10.73138323,122.5596186,,,,,
STP0623,Jaro,,10.72913891,122.5572046,,,,,
STP0624,Cornerstone Pet Hospital,,10.71726005,122.5593974,,,,,
STP0625,Jaro,,10.72468304,122.5539935,,,,,
STP0626,Petron,,10.72622251,122.5562496,,,,,
STP0627,Wawa Carinderia,,10.72283975,122.5578137,,,,,
STP0628,Jaro,,10.71968928,122.5618161,,,,,
STP0701,Molo,,10.69205488,122.5438418,,,,,
STP0702,Molo,,10.69615379,122.5513419,,,,,
STP0703,Molo,,10.69584738,122.5481398,,,,,
STP0704,City Proper,,10.69662724,122.5553982,,,,,
