route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
R1,daily,TRP101,,0,,R1_1,,
R1,daily,TRP102,,1,,R1_2,,
R10,daily,TRP1001,,0,,R10_1,,
R10,daily,TRP1002,,1,,R10_2,,
R11,daily,TRP1101,,0,,R11_1,,
R11,daily,TRP1102,,1,,R11_2,,
R12,daily,TRP1201,,0,,R12_1,,
R12,daily,TRP1202,,1,,R12_2,,
R13,daily,TRP1301,,0,,R13_1,,
R13,daily,TRP1302,,1,,R13_2,,
R14,daily,TRP1401,,0,,R14_1,,
R14,daily,TRP1402,,1,,R14_2,,
R15,daily,TRP1501,,0,,R15_1,,
R15,daily,TRP1502,,1,,R15_2,,
R16,daily,TRP1601,,0,,R16_1,,
R16,daily,TRP1602,,1,,R16_2,,
R17,daily,TRP1701,,0,,R17_1,,
R17,daily,TRP1702,,1,,R17_2,,
R18,daily,TRP1801,,0,,R18_1,,
R18,daily,TRP1802,,1,,R18_2,,
R19,daily,TRP1901,,0,,R19_1,,
R19,daily,TRP1902,,1,,R19_2,,
R2,daily,TRP201,,0,,R2_1,,
R2,daily,TRP202,,1,,R2_2,,
R20,daily,TRP2001,,0,,R20_1,,
R20,daily,TRP2002,,1,,R20_2,,
R21,daily,TRP2101,,0,,R21_1,,
R21,daily,TRP2102,,1,,R21_2,,
R22,daily,TRP2201,,0,,R22_1,,
R22,daily,TRP2202,,1,,R22_2,,
R23,daily,TRP2301,,0,,R23_1,,
R23,daily,TRP2302,,1,,R23_2,,
R24,daily,TRP2401,,0,,R24_1,,
R24,daily,TRP2402,,1,,R24_2,,
R25,daily,TRP2501,,0,,R25_1,,
R25,daily,TRP2502,,1,,R25_2,,
R3,daily,TRP301,,0,,R3_1,,
R3,daily,TRP302,,1,,R3_2,,
R4,daily,TRP401,,0,,R4_1,,
R4,daily,TRP402,,1,,R4_2,,
R5,daily,TRP501,,0,,R5_1,,
R5,daily,TRP502,,1,,R5_2,,
R51,daily,TRP5101,,0,,R51_1,,
R51,daily,TRP5102,,1,,R51_2,,
R52,daily,TRP5201,,0,,R52_1,,
R52,daily,TRP5202,,1,,R52_2,,
R54,daily,TRP5401,,0,,R54_1,,
R54,daily,TRP5402,,1,,R54_2,,
R55,daily,TRP5501,,0,,R55_1,,
R55,daily,TRP5502,,1,,R55_2,,
R6,daily,TRP0601,,0,,R6_1,,
R6,daily,TRP0602,,1,,R6_2,,
R7,daily,TRP0701,,0,,R7_1,,
R7,daily,TRP0702,,1,,R7_2,,
R8,daily,TRP801,,0,,R8_1,,
R8,daily,TRP802,,1,,R8_2,,
R9,daily,TRP901,,0,,R9_1,,
R9,daily,TRP902,,1,,R9_2,,
